movie_id,movie_rank,movie_votes,movie_title,originalTitle,movie_year,movie_rating,titleType,isAdult,movie_runtime,movie_genres
tt1560220,72,180785,Zombieland: Double Tap,Zombieland: Double Tap,2019,6.7,movie,0,99,"Action, Comedy, Horror"
tt4520988,79,172982,Frozen II,Frozen II,2019,6.8,movie,0,103,"Animation, Adventure, Comedy"
tt3385524,374,37793,Stan & Ollie,Stan & Ollie,2018,7.2,movie,0,98,"Biography, Comedy, Drama"
tt7137380,455,30018,Destroyer,Destroyer,2018,6.2,movie,0,121,"Action, Crime, Drama"
tt6146586,27,343610,John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,2019,7.4,movie,0,130,"Action, Crime, Thriller"
tt8633478,191,80174,Run,Run,2020,6.7,movie,0,90,"Mystery, Thriller"
tt6987770,449,30513,Destination Wedding,Destination Wedding,2018,6,movie,0,87,"Comedy, Drama, Romance"
tt10612922,427,32293,One Night in Miami...,One Night in Miami...,2020,7.1,movie,0,114,Drama
tt7958736,278,53996,Ma,Ma,2019,5.6,movie,0,99,"Horror, Mystery, Thriller"
tt1259528,139,113036,Den of Thieves,Den of Thieves,2018,7,movie,0,140,"Action, Crime, Drama"
tt2584384,23,388086,Jojo Rabbit,Jojo Rabbit,2019,7.9,movie,0,108,"Comedy, Drama, War"
tt3361792,343,41591,Tolkien,Tolkien,2019,6.8,movie,0,112,"Biography, Drama, Romance"
tt7242142,441,31154,Blindspotting,Blindspotting,2018,7.4,movie,0,95,"Comedy, Crime, Drama"
tt1289403,315,47335,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,2018,7.3,movie,0,124,"Drama, Romance, War"
tt8361028,421,32612,Cam,Cam,2018,5.9,movie,0,94,"Drama, Horror, Mystery"
tt5580266,380,36829,The Hate U Give,The Hate U Give,2018,7.5,movie,0,133,"Crime, Drama"
tt10272386,96,152750,The Father,The Father,2020,8.2,movie,0,97,"Drama, Mystery"
tt9071322,167,89352,Dark Waters,Dark Waters,2019,7.6,movie,0,126,"Biography, Drama, History"
tt2119543,289,52324,The House with a Clock in Its Walls,The House with a Clock in Its Walls,2018,6,movie,0,105,"Comedy, Family, Fantasy"
tt5606664,65,193999,Doctor Sleep,Doctor Sleep,2019,7.3,movie,0,152,"Drama, Fantasy, Horror"
tt1846589,239,64168,Hunter Killer,Hunter Killer,2018,6.6,movie,0,121,"Action, Thriller"
tt8503618,156,94498,Hamilton,Hamilton,2020,8.4,movie,0,160,"Biography, Drama, History"
tt1488606,119,129510,Triple Frontier,Triple Frontier,2019,6.4,movie,0,125,"Action, Thriller"
tt7985648,338,42329,The Legend of Tomiris,Tomiris,2019,6.1,movie,0,156,"Action, Drama, History"
tt7014006,204,76434,Eighth Grade,Eighth Grade,2018,7.4,movie,0,93,"Comedy, Drama"
tt1051906,55,228860,The Invisible Man,The Invisible Man,2020,7.1,movie,0,124,"Drama, Horror, Mystery"
tt7347846,310,48531,The Lodge,The Lodge,2019,6,movie,0,108,"Drama, Horror, Mystery"
tt10065694,480,27408,Antebellum,Antebellum,2020,5.8,movie,0,105,"Drama, Horror, Mystery"
tt10039344,361,39197,Countdown,Countdown,2019,5.4,movie,0,90,"Horror, Thriller"
tt6324278,364,38916,Abominable,Abominable,2019,7,movie,0,97,"Animation, Adventure, Comedy"
tt6535880,454,30062,Haunt,Haunt,2019,6.3,movie,0,92,"Horror, Thriller"
tt7653254,37,308962,Marriage Story,Marriage Story,2019,7.9,movie,0,137,"Drama, Romance"
tt13143964,107,141376,Borat Subsequent Moviefilm,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,movie,0,95,Comedy
tt6079516,300,50314,I See You,I See You,2019,6.8,movie,0,98,"Crime, Drama, Horror"
tt7825208,270,55249,Marighella,Marighella,2019,6.6,movie,0,155,"Action, Drama, History"
tt4332232,205,76313,Fractured,Fractured,2019,6.4,movie,0,99,Thriller
tt7329656,490,26911,47 Meters Down: Uncaged,47 Meters Down: Uncaged,2019,5,movie,0,90,"Adventure, Drama, Horror"
tt6679794,215,72988,Outlaw King,Outlaw King,2018,6.9,movie,0,121,"Action, Biography, Drama"
tt4779682,80,172429,The Meg,The Meg,2018,5.6,movie,0,113,"Action, Horror, Sci-Fi"
tt0800325,301,50303,The Dirt,The Dirt,2019,7,movie,0,107,"Biography, Comedy, Drama"
tt5073642,309,48824,Color Out of Space,Color Out of Space,2019,6.2,movie,0,111,"Horror, Mystery, Sci-Fi"
tt2283336,112,135429,Men in Black: International,Men in Black: International,2019,5.6,movie,0,114,"Action, Adventure, Comedy"
tt10362466,423,32461,After We Collided,After We Collided,2020,5,movie,0,105,"Drama, Romance"
tt5932728,321,46550,The Professor and the Madman,The Professor and the Madman,2019,7.2,movie,0,124,"Biography, Drama, History"
tt3224458,185,80675,A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,2019,7.2,movie,0,109,"Biography, Drama"
