movie_id,movie_title,movie_rank,movie_year,movie_runtime,movie_rating,movie_votes,movie_genres
tt9071322,Dark Waters,167.,2019,126 min,7.6,"89,376","Biography, Drama, History           "
tt7550000,Project Power,168.,2020,113 min,6.0,"89,279","Action, Crime, Sci-Fi           "
tt8629748,Spenser Confidential,169.,2020,111 min,6.2,"89,116","Action, Comedy, Drama           "
tt5028340,Mary Poppins Returns,170.,2018,130 min,6.7,"88,842","Adventure, Comedy, Family           "
tt3513548,Richard Jewell,171.,2019,131 min,7.5,"88,082","Biography, Crime, Drama           "
tt6878306,News of the World,172.,2020,118 min,6.8,"87,541","Action, Adventure, Drama           "
tt7939766,I'm Thinking of Ending Things,173.,2020,134 min,6.6,"87,266","Drama, Thriller           "
tt7838252,K.G.F: Chapter 1,174.,2018,156 min,8.2,"86,919","Action, Crime, Drama           "
tt6924650,Midway,175.,2019,138 min,6.7,"86,346","Action, Drama, History           "
tt8364368,Crawl,176.,2019,87 min,6.1,"85,343","Action, Adventure, Horror           "
tt3799232,The Kissing Booth,177.,2018,105 min,5.9,"84,978","Comedy, Romance           "
tt10539608,The Midnight Sky,178.,2020,118 min,5.6,"83,775","Adventure, Drama, Sci-Fi           "
tt5774060,Underwater,179.,2020,95 min,5.8,"83,628","Action, Horror, Sci-Fi           "
tt7456310,Anna,180.,2019,118 min,6.6,"82,958","Action, Thriller           "
tt1413492,12 Strong,181.,2018,130 min,6.5,"82,827","Action, Drama, History           "
tt6513120,Fighting with My Family,182.,2019,108 min,7.1,"81,992","Biography, Comedy, Drama           "
tt10633456,Minari,183.,2020,115 min,7.4,"81,803",Drama           
tt10554232,Dara of Jasenovac,184.,2020,130 min,8.2,"81,058","Drama, War           "
tt3224458,A Beautiful Day in the Neighborhood,185.,2019,109 min,7.2,"80,716","Biography, Drama           "
tt4560436,Mile 22,186.,2018,94 min,6.1,"80,550","Action, Thriller           "
tt5688932,Sorry to Bother You,187.,2018,112 min,6.9,"80,419","Comedy, Drama, Fantasy           "
tt4682266,The New Mutants,188.,2020,94 min,5.3,"80,329","Action, Horror, Mystery           "
tt2531344,Blockers,189.,2018,102 min,6.2,"80,294","Comedy, Drama           "
tt6998518,Mandy,190.,2018,121 min,6.5,"80,268","Action, Fantasy, Horror           "
tt8633478,Run,191.,2020,90 min,6.7,"80,242","Mystery, Thriller           "
tt1034415,Suspiria,192.,2018,152 min,6.7,"79,511","Drama, Fantasy, Horror           "
